#{"t_start": 1713072229.9904199, "env_id": "None"}
r,l,t
234.729893,5,3.939477
875.422081,31,22.321813
1784.157502,20,36.088815
123.335345,5,40.005969
253.625092,9,46.628457
28.462551,3,49.205585
1110.021597,24,65.306593
793.698635,14,76.801468
1396.674402,24,93.643901
-5.935884,4,97.537482
178.378725,6,102.109888
231.164851,9,109.127224
68.306102,4,112.452311
589.380361,20,125.630892
194.152978,6,130.535287
130.236945,5,134.690271
687.193825,13,143.073353
103.904476,5,147.210542
71.257997,5,151.534102
-44.572841,5,156.246046
66.579021,5,160.50396
83.90681,6,165.963848
-32.727077,8,172.380178
254.137211,7,178.540035
-21.176888,4,182.5677
70.550846,5,186.851952
1564.64823,34,212.73588
193.840098,6,217.238583
707.783458,18,229.764624
834.96741,16,240.585945
170.083408,6,245.2971
372.702072,15,255.335749
13.263354,10,262.487778
78.032648,5,266.690086
24.213787,8,272.279242
30.815808,6,277.679381
210.10555,7,283.718753
139.866002,7,289.796277
184.187132,6,295.032252
502.074767,14,305.094466
201.281722,6,310.267825
168.703683,9,316.511827
196.358684,6,321.491074
334.15576,6,328.074422
360.264394,12,336.329533
593.97786,13,344.629729
133.128968,6,348.713645
83.285203,6,352.666564
202.1028,4,356.042051
673.515385,12,364.288835
1485.3621,34,387.767702
346.881683,6,392.649825
755.148564,13,402.272859
492.254632,12,409.970052
399.350831,8,416.457158
123.438374,8,422.941072
428.038019,12,434.298354
470.119356,10,441.602743
1599.732628,39,465.809146
412.644747,11,473.086677
1129.994268,26,488.287155
-133.109532,4,492.004641
470.02527,11,499.315065
915.958041,17,512.239307
227.134678,19,526.459957
134.548671,5,531.02137
726.395478,18,543.886107
77.398929,8,549.970354
286.586237,9,556.825257
1000.041608,21,576.503309
1059.70291,18,587.924937
194.454545,10,594.649727
1632.805697,25,609.973366
132.870995,10,616.049597
22.647119,4,619.398593
508.482372,22,633.52959
1078.113273,19,646.814439
990.843195,11,653.714738
277.252961,8,659.37738
-7.428114,8,665.296753
485.180484,13,673.999904
576.27864,14,691.419761
682.311739,13,700.011859
841.810802,6,703.775354
92.307341,8,708.599127
92.639377,9,714.297294
166.161093,9,721.027605
784.594876,23,735.120087
118.979474,6,738.944148
1455.175532,30,758.112544
-15.128505,8,763.635906
1038.150991,22,778.720062
690.403282,14,789.921241
1495.452073,23,804.121559
1030.216864,21,816.661503
116.150727,6,820.037385
467.157709,8,825.333867
428.956505,21,837.793252
83.424164,6,841.589324
1784.949559,22,855.106244
111.867216,8,860.031087
541.458005,13,867.827405
642.159333,27,884.347527
195.455729,8,892.055716
452.139982,14,900.101201
18.481933,5,903.519626
1935.068961,39,926.774771
1425.924273,37,949.925557
-34.981512,7,955.067032
367.743166,7,959.990976
105.129085,6,964.072135
993.299869,26,980.110896
1024.647288,27,995.770907
459.483399,15,1005.530888
-362.064946,18,1024.816908
258.972697,12,1031.832198
3308.346973,67,1071.548732
1802.858067,43,1101.588302
603.865769,21,1114.240258
-96.547537,9,1121.017058
2393.246107,51,1152.015101
582.177968,19,1164.956906
693.365761,18,1178.097613
1195.058821,24,1195.150102
-9.17791,11,1201.989902
175.897445,6,1205.690436
576.523005,18,1216.979088
1274.836203,51,1247.507751
152.379532,6,1251.391726
1860.026122,47,1279.657031
911.163771,24,1294.893914
371.748315,9,1301.972224
456.684349,12,1310.908621
350.529918,6,1316.180628
420.192265,17,1326.572346
1298.359764,41,1349.939413
769.959105,14,1358.624556
919.476104,25,1372.506204
-32.104857,4,1376.08674
459.897914,14,1385.173039
128.663893,8,1390.618834
642.775522,54,1423.832104
110.204268,6,1427.604133
544.309543,15,1445.093797
536.761888,16,1454.987173
1376.36081,31,1473.7798
