#{"t_start": 1712989102.967028, "env_id": "None"}
r,l,t
0.0,481,153.332576
0.0,497,273.710101
0.0,489,394.003706
0.0,499,514.466484
0.0,496,634.813377
0.0,479,778.873155
0.0,473,899.152357
0.0,495,1019.528437
0.0,495,1139.924769
0.0,490,1260.369933
0.0,613,1404.348526
0.0,608,1524.776273
0.0,602,1645.219931
0.0,607,1765.599434
0.0,604,1885.858953
0.0,495,2031.289586
0.0,501,2151.665346
0.0,499,2272.145984
0.0,496,2392.525167
0.0,486,2512.852727
0.0,496,2657.48051
0.0,489,2777.823038
0.0,498,2898.254565
0.0,490,3018.516917
0.0,491,3138.858912
0.0,497,3283.171959
0.0,483,3403.535279
0.0,489,3523.994994
0.0,486,3644.276212
0.0,496,3764.65174
0.0,482,3910.314702
0.0,490,4030.892475
0.0,493,4151.304604
0.0,496,4271.734457
0.0,491,4391.994986
0.0,617,4535.589784
0.0,607,4655.984653
0.0,604,4776.277191
0.0,610,4896.656738
0.0,610,5017.053653
0.0,493,5161.397223
0.0,499,5282.008509
0.0,494,5402.388335
0.0,495,5522.751273
0.0,503,5643.094729
0.0,496,5787.338029
0.0,482,5907.748154
0.0,489,6028.046821
0.0,496,6148.476022
0.0,494,6268.82021
0.0,489,6412.712945
0.0,490,6533.008222
0.0,488,6653.321088
0.0,488,6773.682102
0.0,496,6894.059841
0.0,485,7039.356069
0.0,500,7159.767441
0.0,489,7280.109355
0.0,494,7400.575721
0.0,494,7520.999836
0.0,603,7665.448359
0.0,605,7785.859421
0.0,583,7906.317633
0.0,599,8026.748964
0.0,593,8147.079101
0.0,483,8291.073436
0.0,488,8411.499253
0.0,490,8531.744455
0.0,485,8652.125012
0.0,491,8772.533634
0.0,603,8915.929253
0.0,607,9036.309486
0.0,594,9156.71658
0.0,601,9277.099651
0.0,606,9397.495082
0.0,493,9542.639429
0.0,485,9663.084862
0.0,492,9783.480241
0.0,492,9903.856595
0.0,486,10024.251246
0.0,489,10168.496249
0.0,444,10288.874578
0.0,478,10409.303998
0.0,502,10529.616297
0.0,487,10650.009993
0.0,484,10793.87318
0.0,499,10914.301619
0.0,488,11034.727799
0.0,497,11155.207192
0.0,489,11275.620741
0.0,492,11419.446102
0.0,500,11539.909333
0.0,502,11660.253635
0.0,492,11780.631613
0.0,498,11901.125674
0.0,492,12044.673537
0.0,497,12164.951602
0.0,501,12285.344937
0.0,484,12405.690628
0.0,493,12526.101831
0.0,494,12670.279184
0.0,487,12790.792889
0.0,473,12911.039
0.0,484,13031.433689
0.0,491,13151.958307
0.0,496,13297.839506
0.0,499,13418.301109
0.0,486,13538.862293
0.0,486,13659.239388
0.0,490,13779.687009
0.0,486,13923.863234
0.0,492,14044.358638
0.0,481,14164.653178
0.0,492,14285.097117
0.0,485,14405.490764
0.0,486,14550.520654
0.0,495,14670.98523
0.0,497,14791.318065
0.0,496,14911.638366
0.0,492,15031.835941
0.0,486,15177.347717
0.0,496,15297.593529
0.0,497,15418.068913
0.0,488,15538.349829
0.0,493,15658.610985
0.0,494,15803.938752
0.0,498,15924.301467
0.0,499,16044.69449
0.0,489,16165.124429
0.0,493,16285.536633
0.0,494,16429.729701
0.0,491,16550.042989
0.0,484,16670.40229
0.0,496,16790.746431
0.0,488,16911.215053
0.0,492,17056.305923
0.0,485,17176.614407
0.0,498,17296.895313
0.0,492,17417.356633
0.0,496,17537.786114
0.0,489,17682.146661
0.0,488,17802.508666
0.0,488,17922.870656
0.0,488,18043.383354
0.0,493,18163.659221
0.0,489,18308.924459
0.0,493,18429.247071
0.0,500,18549.462503
0.0,489,18669.805934
0.0,480,18790.186533
0.0,486,18934.328346
0.0,485,19054.692444
0.0,494,19175.194074
0.0,497,19295.664181
0.0,481,19416.140715
0.0,603,19560.687204
0.0,602,19681.032115
0.0,595,19801.279537
0.0,613,19921.690886
0.0,606,20041.953221
0.0,488,20185.343503
0.0,489,20305.789325
0.0,488,20426.137333
0.0,492,20546.512346
0.0,498,20666.909715
0.0,500,20805.588629
0.0,495,20926.001526
0.0,499,21046.260068
0.0,494,21166.707978
0.0,489,21286.967933
0.0,498,21429.328336
0.0,497,21549.809775
0.0,499,21670.185839
0.0,502,21790.513833
0.0,492,21910.942528
0.0,492,22051.371369
0.0,498,22171.800745
0.0,501,22292.095839
0.0,504,22412.457804
0.0,499,22532.886202
0.0,500,22674.828556
0.0,498,22795.276191
0.0,505,22915.518333
0.0,507,23035.947333
0.0,508,23156.37735
0.0,505,23298.255815
0.0,508,23418.598879
0.0,512,23539.081122
0.0,510,23659.623657
0.0,507,23780.034582
0.0,495,23924.744778
0.0,498,24045.007903
0.0,503,24165.290173
0.0,500,24285.649312
0.0,514,24406.025352
0.0,606,24549.487364
0.0,608,24669.78492
0.0,617,24790.025979
0.0,606,24910.422436
0.0,604,25030.766741
0.0,502,25174.41481
0.0,505,25294.842086
0.0,500,25415.150517
0.0,503,25535.465909
0.0,509,25655.795422
0.0,503,25797.623045
0.0,498,25917.899945
0.0,504,26038.160692
0.0,492,26158.625438
0.0,500,26278.885917
0.0,494,26421.028941
0.0,507,26541.443507
0.0,499,26661.904948
0.0,494,26782.199528
0.0,513,26902.492308
0.0,496,27046.44009
0.0,508,27166.883871
0.0,496,27287.495963
0.0,481,27407.823109
0.0,504,27528.184053
0.0,509,27671.912892
0.0,501,27792.294532
0.0,488,27912.521081
0.0,490,28032.80051
0.0,509,28153.110842
0.0,781,28297.301813
0.0,796,28417.518361
0.0,795,28537.927199
0.0,800,28658.221481
0.0,804,28778.449443
0.0,508,28919.427677
0.0,508,29039.661448
0.0,500,29160.004386
0.0,487,29280.498228
0.0,495,29400.862424
0.0,497,29542.673184
0.0,489,29663.084274
0.0,507,29783.476737
0.0,508,29903.788254
0.0,510,30024.184058
0.0,508,30167.28003
0.0,502,30287.77732
0.0,503,30408.238916
0.0,505,30528.716114
0.0,504,30649.127576
0.0,502,30793.005653
0.0,508,30913.435038
0.0,502,31033.74446
0.0,503,31154.244881
0.0,498,31274.652794
0.0,610,31415.495225
0.0,609,31535.793207
0.0,612,31656.10535
0.0,615,31776.514508
0.0,619,31896.844435
0.0,506,32040.473768
0.0,497,32160.767726
0.0,495,32281.363111
0.0,502,32401.85717
0.0,500,32522.119935
0.0,606,32665.680126
0.0,607,32786.02303
0.0,611,32906.287478
0.0,598,33026.547577
0.0,612,33146.876591
0.0,511,33290.305722
0.0,497,33410.699073
0.0,499,33531.130549
0.0,498,33651.422501
0.0,501,33771.636409
0.0,602,33912.896119
0.0,596,34033.107864
0.0,608,34153.504245
