#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
542.672987,31,10.399862
250.369292,14,14.998493
1244.019724,52,27.563488
872.117266,39,37.544775
126.157321,10,39.94668
327.049581,20,44.712005
1022.195816,49,55.810478
1727.340002,62,70.111938
965.533975,49,81.211252
795.13348,32,88.559107
455.075067,34,100.877524
1048.266713,52,112.810663
290.362277,17,116.726349
3642.213786,145,149.67493
506.3229,24,155.216736
189.661539,21,160.290756
145.231462,13,163.325568
111.702609,11,165.825206
499.705906,39,174.5908
182.579226,15,182.04318
839.493102,35,189.904401
104.810696,15,193.490882
1484.452379,65,208.190202
222.594236,20,212.55611
612.814285,28,218.623411
483.52698,27,224.80689
1930.097663,91,255.872352
1313.576242,64,270.019101
4768.03415,193,312.484787
286.158814,18,316.949276
591.419219,37,325.236382
1642.405876,88,344.969907
1253.326989,54,359.485081
1727.219837,92,379.465778
1390.69959,63,393.165497
740.648031,31,400.183416
922.009343,52,412.230929
575.514547,22,417.082107
148.244769,11,419.715519
951.825041,46,430.112838
1401.089201,64,449.296855
4838.099853,208,495.844539
1374.218103,70,511.2108
390.836445,21,516.058959
1596.707409,69,531.160363
233.984065,16,534.86122
400.471591,22,539.776169
872.863636,39,548.927219
179.246927,13,551.942601
1832.156175,81,572.47388
297.776407,22,577.492229
2142.375883,77,594.425954
2234.887039,83,613.238559
1355.104581,63,626.786821
2120.912434,97,649.339413
723.334735,41,659.820614
344.554333,18,663.919248
1596.549097,70,679.203669
820.682312,39,688.052428
2103.934348,91,708.687165
1343.120971,55,721.237197
550.233806,28,727.700746
927.031207,41,740.836311
612.986875,34,748.400701
301.920172,19,752.716985
1210.534847,46,762.63284
569.20408,36,770.481555
74.599603,17,774.451357
64.20271,10,776.849887
158.19807,18,780.950505
3909.672462,160,829.281681
1123.306545,45,839.398293
1138.818745,53,851.380199
724.031059,36,859.712163
1412.623368,83,877.847652
1886.114672,95,899.528705
504.446138,26,907.111854
4788.048942,168,944.759903
90.330875,13,948.047077
89.326838,10,950.392313
543.954981,28,956.542844
797.91491,38,988.008593
2692.469324,104,1011.125509
1901.675411,82,1029.007598
3198.183717,137,1059.853737
86.242403,9,1061.90663
1505.515623,69,1077.388578
114.959676,9,1086.669988
2140.327761,85,1105.337214
504.947182,30,1111.936859
106.085497,11,1114.438131
4485.556805,189,1156.603326
94.21799,20,1161.118942
214.699847,21,1165.919982
410.236179,29,1186.33497
135.941805,20,1190.717471
137.481041,14,1194.084283
5494.4957,263,1252.663919
720.94906,41,1262.148863
1103.383036,62,1276.447608
889.962763,40,1294.363667
2763.50853,117,1320.229266
2072.944417,102,1342.409847
402.564958,25,1347.910428
2454.673697,110,1371.911168
505.174301,33,1402.540436
1170.04937,56,1415.039535
1066.00513,48,1425.82342
3933.795865,145,1457.724321
3314.636719,131,1486.956791
914.796398,43,1496.705357
263.11597,26,1515.82288
1618.819732,72,1531.88528
1545.484285,60,1545.335003
483.457308,34,1553.11962
2562.768224,117,1578.899078
63.028232,11,1581.418692
868.360127,45,1591.932858
115.301905,12,1605.133333
2022.638165,92,1625.117
2708.990665,122,1652.131879
2613.880401,110,1676.84863
380.095417,23,1681.981754
1132.551789,53,1694.081503
1858.930288,89,1724.646348
175.868778,13,1727.759348
1396.049836,63,1741.660993
486.63899,33,1749.410218
1459.600941,62,1763.925885
228.82904,20,1768.659378
2152.403019,91,1807.773891
1779.950743,76,1824.724471
4347.199491,174,1864.689157
1190.237546,58,1877.506153
1877.848175,79,1894.790028
1312.78029,55,1907.220366
371.347935,22,1922.468182
639.722844,35,1930.472129
251.663074,17,1934.421972
1676.330648,77,1952.487784
2065.46212,80,1971.869775
0.233317,7,1973.584719
930.067098,40,1982.935166
500.230836,28,1989.966779
439.325,23,1995.920136
